timestamp, cpu_temp, cpu_util, cpu_freq, amb_temp, amb_humid, heatsink, cover, starttime
2018-03-29T01:19:14,48.3,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:19:17,48.3,0.25,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:19:19,48.3,0.25,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:19:22,47.8,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:19:24,48.3,0.25,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:19:27,47.8,0.25,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:19:29,48.3,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:19:32,47.8,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:19:34,47.8,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:19:37,48.3,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:19:39,47.8,0.25,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:19:42,47.8,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:19:44,47.8,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:19:47,47.2,0.5,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:19:49,47.2,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:19:51,47.8,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:19:54,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:19:56,47.8,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:19:59,47.2,0.25,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:20:01,47.2,0.25,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:20:04,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:20:06,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:20:09,47.2,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:20:11,47.2,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:20:13,47.2,0.25,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:20:16,47.2,0.25,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:20:18,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:20:21,47.2,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:20:23,47.8,0,600000000,null,null,False,False,2018-03-29T00:37:42
